movie_name,month,year,critic_vote_metacritic,meta_score_metacritic,critic_vote_rotten,meta_score_rotten,critic_vote,meta_score
90 Minutes in Heaven,9,2015,9,28,23,26,32,26.56
99 Homes,9,2015,,,,,32,26.56
A Bad Moms Christmas,11,2017,30,42,129,32,159,33.89
A Beautiful Day in the Neighborhood,12,2019,50,80,380,95,430,93.26
A Beautiful Mind,12,2001,33,72,214,74,247,73.73
A Better Life,6,2011,30,64,107,86,137,81.18
A Christmas Carol,11,2009,32,55,,,32,55.00
A Cinderella Story,7,2004,30,25,102,11,132,14.18
A Cure for Wellness,2,2017,50,82,,,50,82.00
A Dangerous Method,11,2011,41,76,191,79,232,78.47
A Dog's Journey,5,2019,16,43,85,52,101,50.57
A Dog's Purpose,1,2017,32,43,148,34,180,35.60
A Dog's Way Home,1,2019,14,50,80,59,94,57.66
A Ghost Story,7,2017,46,84,285,91,331,90.03
A Good Day to Die Hard,2,2013,41,28,231,15,272,16.96
A Good Year,11,2006,33,47,137,26,170,30.08
A Guy Thing,1,2003,29,27,104,25,133,25.44
A Haunted House,1,2013,16,20,52,10,68,12.35
A Haunted House 2,4,2014,16,17,39,8,55,10.62
A History of Violence,9,2005,37,82,217,88,254,87.13
A Hologram for the King,4,2016,35,58,150,70,185,67.73
A Home at the End of the World,7,2004,34,59,117,50,151,52.03
A Knight's Tale,5,2001,36,56,153,59,189,58.43
A Lot Like Love,4,2005,31,48,124,41,155,42.40
A Madea Family Funeral,3,2019,11,39,,,11,39.00
A Man Apart,4,2003,32,36,131,11,163,15.91
A Mighty Heart,6,2007,38,74,192,79,230,78.17
A Mighty Wind,4,2003,40,81,173,87,213,85.87
A Million Ways to Die in the West,5,2014,43,44,212,33,255,34.85
A Monster Calls,12,2016,40,76,264,86,304,84.68
A Most Violent Year,12,2014,44,79,234,90,278,88.26
A Most Wanted Man,7,2014,42,73,197,86,239,83.72
A Nightmare on Elm Street,4,2010,25,35,184,14,209,16.51
A Perfect Getaway,8,2009,22,63,139,62,161,62.14
A Prairie Home Companion,6,2006,38,75,198,81,236,80.03
A Prophet,2,2010,,,,,0,0
A Quiet Place,4,2018,55,82,385,96,440,94.25
A Scanner Darkly,7,2006,33,73,188,68,221,68.75
A Series of Unfortunate Events,12,2004,37,62,,,37,62.00
A Serious Man,10,2009,38,88,224,89,262,88.85
A Simple Favor,9,2018,41,67,257,84,298,81.66
A Single Man,12,2009,35,77,198,86,233,84.65
A Sound of Thunder,9,2005,26,24,99,6,125,9.74
A Star Is Born,10,2018,60,88,538,90,598,89.80
A Thousand Words,3,2012,18,26,58,0,76,6.16
A Very Harold & Kumar Christmas,11,2011,29,61,129,68,158,66.72
A Very Long Engagement,11,2004,39,76,147,79,186,78.37
A Walk Among the Tombstones,9,2014,36,57,164,68,200,66.02
A Walk in the Woods,9,2015,30,51,165,46,195,46.77
A Walk to Remember,1,2002,26,35,105,29,131,30.19
A Wrinkle in Time,3,2018,52,53,344,43,396,44.31
A.I. Artificial Intelligence,6,2001,32,65,,,32,65.00
ATL,3,2006,25,63,85,62,110,62.23
Abandon,10,2002,26,36,111,16,137,19.80
Abduction,9,2011,20,25,109,5,129,8.10
Abominable,9,2019,28,61,169,82,197,79.02
About Last Night,2,2014,30,62,97,68,127,66.58
About Schmidt,12,2002,40,85,205,85,245,85.00
About Time,9,2013,34,55,167,71,201,68.29
About a Boy,5,2002,38,75,185,93,223,89.93
Abraham Lincoln: Vampire Hunter,6,2012,35,42,194,34,229,35.22
Accepted,8,2006,27,47,116,38,143,39.70
Acrimony,3,2018,14,32,38,18,52,21.77
Across the Universe,9,2007,29,56,177,53,206,53.42
Act of Valor,2,2012,34,40,143,28,177,30.31
Action Point,6,2018,19,36,50,16,69,21.51
Ad Astra,9,2019,56,80,397,83,453,82.63
Adaptation.,12,2002,40,83,,,40,83.00
Addicted,10,2014,9,32,14,7,23,16.78
Admission,3,2013,39,48,155,37,194,39.21
Adrift,6,2018,31,56,203,69,234,67.28
Adventureland,4,2009,34,76,217,88,251,86.37
After,4,2019,8,30,39,18,47,20.04
After Earth,5,2013,41,33,212,12,253,15.40
After the Sunset,11,2004,32,38,137,18,169,21.79
Against the Ropes,2,2004,36,36,133,12,169,17.11
Agent Cody Banks,3,2003,24,41,103,38,127,38.57
Agent Cody Banks 2: Destination London,3,2004,25,32,94,13,119,16.99
Agora,5,2010,,,,,0,0
Akeelah and the Bee,4,2006,30,72,140,86,170,83.53
Aladdin,5,2019,50,53,388,57,438,56.54
Albert Nobbs,1,2012,,,,,0,0
Alex & Emma,6,2003,35,32,,,35,32.00
Alex Cross,10,2012,34,30,128,11,162,14.99
Alexander,11,2004,42,40,204,16,246,20.10
Alexander and the Terrible Horrible No Good Very Bad Day,10,2014,28,54,,,28,54.00
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",10,2014,28,54,120,63,148,61.30
Alfie,11,2004,35,49,152,48,187,48.19
Ali,12,2001,39,65,154,68,193,67.39
Alice Through the Looking Glass,5,2016,42,34,261,29,303,29.69
Alice in Wonderland,3,2010,38,53,278,50,316,50.36
Alien,10,2019,,,,,0,0
Alien vs. Predator,8,2004,21,29,146,22,167,22.88
Alien: Covenant,5,2017,52,65,408,65,460,65.00
Aliens in the Attic,7,2009,10,42,71,34,81,34.99
Alita: Battle Angel,2,2019,49,53,330,62,379,60.84
All About Steve,9,2009,27,17,140,6,167,7.78
All About the Benjamins,3,2002,26,34,74,31,100,31.78
All Eyez on Me,6,2017,22,38,93,18,115,21.83
All I See Is You,10,2017,,,,,0,0
All Saints,8,2017,7,63,20,95,27,86.70
All or Nothing,10,2002,31,72,93,82,124,79.50
All the King's Men,9,2006,37,37,158,12,195,16.74
All the Money in the World,12,2017,47,72,261,79,308,77.93
All the Pretty Horses,12,2000,29,55,101,32,130,37.13
All the Queen's Men,10,2002,,,,,0,0
Allied,11,2016,44,60,258,60,302,60.00
Almost Christmas,11,2016,27,55,69,49,96,50.69
Almost Famous,9,2000,38,90,227,91,265,90.86
Aloha,5,2015,36,40,166,20,202,23.56
Alone Yet Not Alone,9,2013,,,,,0,0
Alone in the Dark,1,2005,,,121,1,121,1.00
Along Came Polly,1,2004,35,44,161,27,196,30.04
Along Came a Spider,4,2001,31,42,125,32,156,33.99
Alpha,8,2018,26,63,134,80,160,77.24
Alpha and Omega,9,2010,15,36,56,20,71,23.38
Alvin and the Chipmunks,12,2007,23,39,108,29,131,30.76
Alvin and the Chipmunks: Chipwrecked,12,2011,19,24,80,10,99,12.69
Alvin and the Chipmunks: The Road Chip,12,2015,21,33,67,15,88,19.30
Alvin and the Chipmunks: The Squeakquel,12,2009,20,41,85,21,105,24.81
Amelia,10,2009,34,37,162,19,196,22.12
America's Sweethearts,7,2001,32,44,147,33,179,34.97
American Assassin,9,2017,30,45,182,35,212,36.42
American Dreamz,4,2006,37,45,183,39,220,40.01
American Gangster,11,2007,38,76,217,81,255,80.25
American Hustle,12,2013,47,90,297,92,344,91.73
American Made,9,2017,50,65,270,85,320,81.88
American Outlaws,8,2001,26,25,102,13,128,15.44
American Pie 2,8,2001,28,43,126,51,154,49.55
American Psycho,10,2020,23,65,,,23,65.00
American Reunion,4,2012,34,49,186,45,220,45.62
American Sniper,12,2014,48,73,302,72,350,72.14
American Splendor,8,2003,42,90,187,94,229,93.27
American Ultra,8,2015,31,50,176,44,207,44.90
American Wedding,8,2003,34,43,155,53,189,51.20
Amigo,8,2011,,,,,0,0
Amores Perros,3,2001,,,,,0,0
Amour,12,2012,45,95,222,93,267,93.34
Am�lie,11,2001,32,70,,,32,70.00
An American Carol,10,2008,12,20,49,12,61,13.57
An American Haunting,5,2006,,,,,0,0
An Education,10,2009,34,85,199,93,233,91.83
An Everlasting Piece,12,2000,18,56,46,48,64,50.25
An Inconvenient Sequel: Truth to Power,7,2017,36,68,158,80,194,77.77
An Inconvenient Truth,5,2006,32,75,165,93,197,90.08
An Unfinished Life,9,2005,32,49,140,52,172,51.44
Anacondas: The Hunt for the Blood Orchid,8,2004,28,40,121,26,149,28.63
Analyze That,12,2002,34,37,149,26,183,28.04
Anchorman 2: The Legend Continues,2,2014,,,,,0,0
Anchorman: The Legend of Ron Burgundy,7,2004,38,63,203,66,241,65.53
And So It Goes,7,2014,31,38,88,18,119,23.21
Angel Eyes,5,2001,28,39,132,32,160,33.23
Angel Has Fallen,8,2019,33,45,190,38,223,39.04
Angels & Demons,5,2009,36,48,,,36,48.00
Anger Management,4,2003,39,52,191,42,230,43.70
Animal Kingdom,8,2010,33,83,163,94,196,92.15
Anna,6,2019,14,40,74,34,88,34.95
Anna Karenina,11,2012,41,63,193,63,234,63.00
Annabelle,10,2014,27,37,137,28,164,29.48
Annabelle Comes Home,6,2019,35,53,210,64,245,62.43
Annabelle: Creation,8,2017,29,62,191,70,220,68.95
Annie,12,2014,38,33,161,29,199,29.76
Annihilation,2,2018,51,79,331,88,382,86.80
Anomalisa,12,2015,46,88,276,91,322,90.57
Anonymous,10,2011,43,50,176,47,219,47.59
Another Year,12,2010,36,81,173,92,209,90.11
Ant-Man,7,2015,44,64,341,83,385,80.83
Ant-Man and the Wasp,7,2018,56,70,,,56,70.00
Ant-Man and the Wasp: Quantumania,2,2023,61,48,,,61,48.00
Antitrust,1,2001,29,31,106,24,135,25.50
Antwone Fisher,12,2002,32,62,148,78,180,75.16
Anyone But You,12,2023,26,52,108,54,134,53.61
Anything Else,9,2003,37,43,136,40,173,40.64
Apocalypto,12,2006,37,68,202,65,239,65.46
Apollo 18,9,2011,19,24,76,24,95,24.00
Appaloosa,9,2008,32,64,165,76,197,74.05
Aqua Teen Hunger Force Colon Movie Film for Theaters,4,2007,28,54,84,49,112,50.25
Aquaman,12,2018,50,55,414,65,464,63.92
Aquaman and the Lost Kingdom,12,2023,43,42,208,34,251,35.37
Aquamarine,3,2006,27,51,87,52,114,51.76
Ararat,11,2002,25,62,78,55,103,56.70
Arbitrage,9,2012,35,73,172,87,207,84.63
Arctic Dogs,11,2019,4,28,17,12,21,15.05
Are We There Yet?,1,2005,28,27,116,11,144,14.11
Argo,10,2012,45,86,365,96,410,94.90
Argylle,1,2024,56,35,290,33,346,33.32
Armored,12,2009,13,50,56,41,69,42.70
Around the World in 80 Days,6,2004,33,49,128,32,161,35.48
Arrival,11,2016,52,81,442,94,494,92.63
Arthur,4,2011,37,36,195,27,232,28.44
Arthur Christmas,11,2011,32,69,170,92,202,88.36
"As Above, So Below",8,2014,24,39,79,28,103,30.56
Assassin's Creed,12,2016,,,228,18,228,18.00
Assault on Precinct 13,1,2005,39,54,166,60,205,58.86
Astro Boy,10,2009,22,53,140,51,162,51.27
Atlantis: The Lost Empire,6,2001,29,52,146,49,175,49.50
Atlas Shrugged: Part I,4,2011,19,28,,,19,28.00
Atomic Blonde,7,2017,50,63,366,79,416,77.08
Atonement,12,2007,36,85,220,83,256,83.28
Attack the Block,7,2011,27,75,186,91,213,88.97
August Rush,11,2007,27,38,123,37,150,37.18
August: Osage County,12,2013,45,58,208,66,253,64.58
Austin Powers in Goldmember,7,2002,34,62,186,53,220,54.39
Australia,11,2008,38,53,222,54,260,53.85
Autumn in New York,8,2000,21,24,,,21,24.00
Avatar,12,2009,38,83,338,81,376,81.20
Avengers: Age of Ultron,5,2015,49,66,378,76,427,74.85
Avengers: Endgame,4,2019,57,78,556,94,613,92.51
Avengers: Infinity War,4,2018,54,68,490,85,544,83.31
Awake,11,2007,17,33,62,23,79,25.15
Away We Go,6,2009,33,58,193,67,226,65.69
Babel,10,2006,38,69,207,69,245,69.00
Baby Boy,6,2001,26,55,93,71,119,67.50
Baby Driver,6,2017,53,86,396,92,449,91.29
Baby Mama,4,2008,34,55,166,63,200,61.64
Babylon A.D.,8,2008,15,26,105,7,120,9.38
Bachelorette,9,2012,30,53,101,56,131,55.31
Bad Boys II,7,2003,34,38,185,23,219,25.33
Bad Company,6,2002,33,37,135,10,168,15.30
Bad Education,11,2004,34,81,149,88,183,86.70
Bad Lieutenant: Port of Call New Orleans,11,2009,32,69,156,86,188,83.11
Bad Moms,7,2016,33,60,171,58,204,58.32
Bad News Bears,7,2005,35,65,163,48,198,51.01
Bad Santa,11,2003,38,70,220,78,258,76.82
Bad Santa 2,11,2016,36,38,135,23,171,26.16
Bad Teacher,6,2011,38,47,193,45,231,45.33
Bad Times at the El Royale,10,2018,43,60,260,75,303,72.87
Bad Words,3,2014,,,134,66,134,66.00
Baggage Claim,9,2013,27,34,83,16,110,20.42
Bait,9,2000,28,39,82,26,110,29.31
Ballerina,1,2009,,,,,0,0
Ballistic: Ecks vs. Sever,9,2002,26,19,119,0,145,3.41
Bandits,10,2001,32,60,135,64,167,63.23
Bandslam,8,2009,20,66,104,82,124,79.42
Bangkok Dangerous,9,2008,16,24,93,9,109,11.20
Barbershop,9,2002,29,66,125,82,154,78.99
Barbershop 2: Back in Business,2,2004,34,59,127,69,161,66.89
Barbershop: The Next Cut,4,2016,30,67,93,90,123,84.39
Barbie,7,2023,67,80,497,88,564,87.05
Barney's Version,1,2011,,,,,0,0
Barnyard,8,2006,24,42,,,24,42.00
Basic,3,2003,33,34,143,21,176,23.44
Basic Instinct 2,3,2006,33,26,154,6,187,9.53
Batman Begins,6,2005,41,70,291,85,332,83.15
Batman v Superman: Dawn of Justice,3,2016,51,44,439,29,490,30.56
Battle Los Angeles,3,2011,35,37,,,35,37.00
Battle of the Sexes,9,2017,46,73,316,84,362,82.60
Battle of the Year,9,2013,21,29,53,6,74,12.53
Battleship,5,2012,39,41,229,34,268,35.02
Baywatch,5,2017,47,37,246,17,293,20.21
Be Cool,3,2005,38,37,170,30,208,31.28
Be Kind Rewind,2,2008,35,52,130,65,165,62.24
Beastly,3,2011,26,40,98,21,124,24.98
Beasts of the Southern Wild,6,2012,45,86,210,87,255,86.82
Beautiful Boy,10,2018,45,62,266,68,311,67.13
Beautiful Creatures,2,2013,40,52,183,48,223,48.72
Beauty Shop,3,2005,28,53,119,38,147,40.86
Beauty and the Beast,3,2017,47,65,384,71,431,70.35
Because I Said So,2,2007,30,26,158,4,188,7.51
Because of Winn-Dixie,2,2005,27,54,121,55,148,54.82
Becoming Jane,8,2007,34,55,141,58,175,57.42
Bedazzled,10,2000,34,49,117,50,151,49.77
Bedtime Stories,12,2008,26,33,112,27,138,28.13
Bee Movie,11,2007,34,54,,,34,54.00
Bee Season,11,2005,32,54,108,44,140,46.29
Beerfest,8,2006,25,46,107,40,132,41.14
Before I Fall,3,2017,31,58,123,64,154,62.79
Before I Go to Sleep,10,2014,31,41,119,37,150,37.83
Before Midnight,5,2013,41,94,206,98,247,97.34
Before Sunset,7,2004,39,91,180,94,219,93.47
Begin Again,6,2014,,,,,0,0
Beginners,6,2011,,,,,0,0
Behind Enemy Lines,11,2001,29,49,131,37,160,39.17
Being Julia,10,2004,38,65,124,77,162,74.19
Bella,10,2007,,,,,0,0
Ben-Hur,8,2016,34,38,188,25,222,26.99
Beowulf,11,2007,35,59,194,71,229,69.17
Bernie,4,2012,,,,,0,0
Best in Show,9,2000,33,78,116,93,149,89.68
Better Luck Tomorrow,4,2003,,,,,0,0
Beverly Hills Chihuahua,10,2008,22,41,99,40,121,40.18
Bewitched,6,2005,39,34,187,24,226,25.73
Beyond Borders,10,2003,31,32,103,14,134,18.16
Beyond the Lights,11,2014,25,73,91,84,116,81.63
Beyond the Sea,12,2004,7,61,156,42,163,42.82
Big Eyes,12,2014,40,62,196,72,236,70.31
Big Fat Liar,2,2002,24,36,94,45,118,43.17
Big Fish,12,2003,42,58,219,75,261,72.26
Big Hero 6,11,2014,39,74,230,90,269,87.68
Big Miracle,2,2012,28,61,105,74,133,71.26
Big Momma's House,6,2000,27,33,82,30,109,30.74
Big Momma's House 2,1,2006,20,34,74,5,94,11.17
Big Mommas: Like Father Like Son,2,2011,14,22,,,14,22.00
"Big Mommas: Like Father, Like Son",2,2011,14,22,62,5,76,8.13
Big Trouble,4,2002,32,47,111,48,143,47.78
Bigger Than the Sky,2,2005,10,21,17,12,27,15.33
Biker Boyz,1,2003,27,36,94,22,121,25.12
Billy Elliot,10,2000,34,74,119,85,153,82.56
Birdman or (The Unexpected Virtue of Ignorance),10,2014,58,87,364,91,422,90.45
Birth,10,2004,38,51,147,39,185,41.46
Birth of the Dragon,8,2017,,,,,0,0
Birthday Girl,2,2002,,,,,0,0
Biutiful,1,2011,,,,,0,0
BlacKkKlansman,8,2018,56,83,449,96,505,94.56
Black Book,4,2007,,,,,0,0
Black Christmas,12,2006,17,22,65,14,82,15.66
Black Hawk Down,12,2001,33,74,175,77,208,76.52
Black Knight,11,2001,26,32,98,15,124,18.56
Black Mass,9,2015,43,68,292,73,335,72.36
Black Nativity,11,2013,29,48,88,51,117,50.26
Black Panther,2,2018,55,88,531,96,586,95.25
Black Snake Moan,3,2007,,,162,66,162,66.00
Black Swan,12,2010,42,79,322,85,364,84.31
Black and Blue,10,2019,23,54,95,49,118,49.97
Black or White,1,2015,,,,,0,0
Blackhat,1,2015,37,52,192,33,229,36.07
Blade II,3,2002,28,52,150,57,178,56.21
Blade Runner 2049,10,2017,54,81,442,88,496,87.24
Blade: Trinity,12,2004,30,38,167,24,197,26.13
Blades of Glory,3,2007,35,64,188,70,223,69.06
Blair Witch,9,2016,41,47,226,38,267,39.38
Bleed for This,12,2016,34,62,143,71,177,69.27
Blended,5,2014,33,31,138,15,171,18.09
Bless the Child,8,2000,27,17,113,4,140,6.51
Blinded by the Light,8,2019,44,71,262,89,306,86.41
Blindness,10,2008,31,45,160,44,191,44.16
Blockers,4,2018,46,69,228,84,274,81.48
Blood Diamond,12,2006,39,64,219,63,258,63.15
Blood Done Sign My Name,2,2010,16,49,29,52,45,50.93
Blood Work,8,2002,34,64,152,52,186,54.19
Blood and Chocolate,1,2007,16,33,73,11,89,14.96
BloodRayne,1,2006,,,,,0,0
Blow,4,2001,34,52,142,56,176,55.23
Blue Beetle,8,2023,52,61,274,78,326,75.29
Blue Crush,8,2002,33,61,145,61,178,61.00
Blue Jasmine,7,2013,47,78,233,90,280,87.99
Blue Valentine,12,2010,42,81,216,87,258,86.02
Boat Trip,3,2003,35,91,90,7,125,30.52
Bobby,11,2006,31,54,175,47,206,48.05
Bobby Jones: Stroke of Genius,4,2004,28,45,75,27,103,31.89
Body of Lies,10,2008,37,57,216,56,253,56.15
Bohemian Rhapsody,11,2018,50,49,420,60,470,58.83
Boiler Room,2,2000,34,63,104,66,138,65.26
Bolt,11,2008,29,67,191,90,220,86.97
Bombshell,12,2019,46,64,347,68,393,67.53
Bon Voyage,10,2003,30,68,98,77,128,74.89
Bones,10,2001,21,42,72,26,93,29.61
Boo 2! A Madea Halloween,10,2017,10,17,,,10,17.00
Boo! A Madea Halloween,10,2016,14,30,,,14,30.00
Boogeyman,2,2005,19,32,87,13,106,16.41
Book Club,5,2018,37,53,187,55,224,54.67
Book of Shadows: Blair Witch 2,10,2000,34,15,110,14,144,14.24
Booksmart,5,2019,52,84,385,96,437,94.57
Borat,11,2006,38,89,,,38,89.00
Bounce,11,2000,31,52,108,53,139,52.78
Bowling for Columbine,10,2002,32,72,173,95,205,91.41
Boy Erased,11,2018,48,69,266,80,314,78.32
Boyhood,7,2014,50,100,336,97,386,97.39
Boys and Girls,6,2000,26,29,63,11,89,16.26
Bran Nue Dae,9,2010,,,,,0,0
Brave,6,2012,37,69,257,79,294,77.74
Breakin' All the Rules,5,2004,26,46,87,31,113,34.45
Breaking In,5,2018,24,42,108,27,132,29.73
Breakthrough,4,2019,17,46,65,62,82,58.68
Brick Mansions,4,2014,28,40,98,24,126,27.56
Bride & Prejudice,2,2005,37,82,,,37,82.00
Bride Wars,1,2009,30,24,147,10,177,12.37
Bridesmaids,5,2011,39,75,296,90,335,88.25
Bridge of Spies,10,2015,48,81,315,91,363,89.68
Bridge to Terabithia,2,2007,25,74,163,85,188,83.54
Bridget Jones's Baby,9,2016,42,59,210,78,252,74.83
Bridget Jones's Diary,4,2001,33,66,162,80,195,77.63
Bridget Jones: The Edge of Reason,11,2004,37,44,157,27,194,30.24
Bright Star,9,2009,34,81,179,83,213,82.68
Brightburn,5,2019,31,44,208,57,239,55.31
Brighton Rock,8,2011,,,,,0,0
Bringing Down the House,3,2003,31,39,151,34,182,34.85
Brokeback Mountain,12,2005,41,87,252,88,293,87.86
Broken City,1,2013,38,49,154,27,192,31.35
Broken Flowers,8,2005,39,79,192,87,231,85.65
Brooklyn,11,2015,45,88,279,97,324,95.75
Brooklyn Rules,5,2007,13,53,40,45,53,46.96
Brooklyn's Finest,3,2010,,,,,0,0
Brother Bear,10,2003,28,48,131,37,159,38.94
Brotherhood of the Wolf,1,2023,,,,,0,0
Brothers,12,2009,31,58,,,31,58.00
Brown Sugar,10,2002,28,58,87,67,115,64.81
Bruce Almighty,5,2003,35,46,190,48,225,47.69
Brüno,7,2009,18,43,230,67,248,65.26
Bubble,1,2006,11,61,,,11,61.00
Bubble Boy,8,2001,21,41,84,31,105,33.00
Bucky Larson: Born to Be a Star,9,2011,13,9,36,3,49,4.59
Buffalo Soldiers,7,2003,16,56,,,16,56.00
Bug,5,2007,,,,,0,0
Bullet to the Head,2,2013,,,,,0,0
Bulletproof Monk,4,2003,29,40,130,23,159,26.10
Bumblebee,12,2018,39,66,252,90,291,86.78
Buried,9,2010,29,65,161,87,190,83.64
Burlesque,11,2010,38,47,177,37,215,38.77
Burn After Reading,9,2008,37,63,248,78,285,76.05
Burnt,10,2015,28,42,162,28,190,30.06
CHIPS,3,2017,26,28,113,19,139,20.68
Ca$h,3,2010,4,6,,,4,6.00
Cabin Fever,9,2003,,,,,0,0
Cabrini,3,2024,14,51,91,90,105,84.80
Caché,12,2005,38,87,,,38,87.00
Cadillac Records,12,2008,30,65,123,66,153,65.80
Café Society,5,2016,37,64,258,71,295,70.12
Calendar Girls,12,2003,30,60,126,74,156,71.31
Call Me by Your Name,11,2017,53,94,364,94,417,94.00
Can You Ever Forgive Me?,10,2018,53,87,320,98,373,96.44
Capitalism: A Love Story,9,2009,36,61,190,74,226,71.93
Capote,9,2005,40,88,196,89,236,88.83
Captain America: Civil War,5,2016,52,75,432,91,484,89.28
Captain America: The First Avenger,7,2011,43,66,276,80,319,78.11
Captain America: The Winter Soldier,4,2014,48,70,311,90,359,87.33
Captain Corelli's Mandolin,8,2001,33,36,119,28,152,29.74
Captain Fantastic,7,2016,36,72,229,83,265,81.51
Captain Marvel,3,2019,56,64,552,79,608,77.62
Captain Phillips,10,2013,48,82,281,93,329,91.40
Captain Underpants: The First Epic Movie,6,2017,25,69,137,87,162,84.22
Captive State,3,2019,19,54,81,42,100,44.28
Carnage,12,2011,40,61,200,70,240,68.50
Carol,11,2015,45,94,323,94,368,94.00
Carrie,10,2013,34,53,185,50,219,50.47
Cars,6,2006,39,73,205,75,244,74.68
Cars 2,6,2011,38,57,221,39,259,41.64
Cars 3,6,2017,41,59,233,69,274,67.50
Casa de mi Padre,3,2012,32,52,,,32,52.00
Case 39,10,2010,,,,,0,0
Casino Jack,12,2010,22,68,97,39,119,44.36
Casino Royale,11,2006,46,80,269,94,315,91.96
Cast Away,12,2000,32,74,157,89,189,86.46
Catch Me If You Can,12,2002,39,75,,,39,75.00
Catch That Kid,2,2004,27,33,85,13,112,17.82
Catch a Fire,10,2006,32,62,145,75,177,72.65
Catch and Release,1,2007,,,,,0,0
Cats,12,2019,51,32,334,19,385,20.72
Cats & Dogs,7,2001,26,47,,,26,47.00
Cats & Dogs: The Revenge of Kitty Galore,7,2010,22,30,,,22,30.00
Catwoman,7,2004,35,27,197,8,232,10.87
Cedar Rapids,2,2011,38,70,169,86,207,83.06
Cellular,9,2004,29,60,150,56,179,56.65
Center Stage,5,2000,33,52,80,41,113,44.21
Central Intelligence,6,2016,35,52,187,71,222,68.00
Centurion,8,2010,21,62,114,60,135,60.31
Chain Letter,10,2010,29,6,14,29,43,13.49
Changeling,10,2008,38,63,209,62,247,62.15
Changing Lanes,4,2002,36,69,153,78,189,76.29
Chappie,3,2015,39,41,226,32,265,33.32
Charlie Bartlett,2,2008,,,,,0,0
Charlie St. Cloud,7,2010,30,37,126,28,156,29.73
Charlie Wilson's War,12,2007,39,67,207,82,246,79.62
Charlie and the Chocolate Factory,7,2005,40,72,230,83,270,81.37
Charlie's Angels,11,2000,34,52,146,68,180,64.98
Charlie's Angels: Full Throttle,6,2003,39,48,186,41,225,42.21
Charlotte's Web,12,2006,28,68,148,79,176,77.25
Chasing Liberty,1,2004,32,46,117,18,149,24.01
Chasing Mavericks,10,2012,27,45,82,33,109,35.97
Chasing Papi,4,2003,23,33,49,14,72,20.07
Cheaper by the Dozen,12,2003,30,46,121,24,151,28.37
Cheaper by the Dozen 2,12,2005,24,34,93,6,117,11.74
Chernobyl Diaries,5,2012,17,32,92,17,109,19.34
Chicago,12,2002,39,81,264,86,303,85.36
Chicken Little,11,2005,32,48,164,37,196,38.80
Chicken Run,6,2000,34,88,174,97,208,95.53
Child 44,4,2015,25,41,84,29,109,31.75
Child's Play,6,2019,35,48,208,63,243,60.84
Children of Men,12,2006,38,84,256,92,294,90.97
